time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-26 00:00:00+00:00,817,132,561,57
2026-01-27 00:00:00+00:00,355,88,256,67
2026-01-28 00:00:00+00:00,501,111,377,53
2026-01-29 00:00:00+00:00,501,113,252,45
2026-01-30 00:00:00+00:00,316,69,293,35
2026-01-31 00:00:00+00:00,755,120,166,22
2026-02-01 00:00:00+00:00,451,109,349,48
2026-02-02 00:00:00+00:00,663,137,514,76
2026-02-03 00:00:00+00:00,766,150,328,45
2026-02-04 00:00:00+00:00,221,52,187,40
2026-02-05 00:00:00+00:00,421,90,230,50
2026-02-06 00:00:00+00:00,577,114,304,42
2026-02-07 00:00:00+00:00,1063,205,695,28
2026-02-08 00:00:00+00:00,1034,167,549,30
